,Tout,solGlo,caf
2024-03-04 02:00:00+01:00,279.1225280761719,5.0632484316359694e-11,0.8240275979042053
2024-03-04 03:00:00+01:00,279.1370849609375,5.0599593959255174e-11,0.8702811598777771
2024-03-04 04:00:00+01:00,279.0262145996094,5.065053931829766e-11,0.9472691416740417
2024-03-04 05:00:00+01:00,278.78350830078125,-1.518538073064235e-10,0.9187303781509399
2024-03-04 06:00:00+01:00,278.12567138671875,0.0,0.9241464138031006
2024-03-04 07:00:00+01:00,278.2408447265625,0.0,0.9335122108459473
2024-03-04 08:00:00+01:00,278.7847595214844,38624.0,0.5708472728729248
2024-03-04 09:00:00+01:00,278.9330749511719,121824.0,0.4902535676956177
2024-03-04 10:00:00+01:00,280.34075927734375,500288.625,0.5063722729682922
2024-03-04 11:00:00+01:00,281.7847900390625,609698.625,0.5658091306686401
2024-03-04 12:00:00+01:00,282.92633056640625,598519.25,0.5888547897338867
2024-03-04 13:00:00+01:00,283.7901611328125,539999.5,0.6040852069854736
2024-03-04 14:00:00+01:00,283.00079345703125,506278.75,0.7151888012886047
2024-03-04 15:00:00+01:00,282.0439758300781,461941.0,0.7270711660385132
2024-03-04 16:00:00+01:00,281.8523254394531,215938.25,0.796852707862854
2024-03-04 17:00:00+01:00,281.5556945800781,89228.75,0.9040144681930542
2024-03-04 18:00:00+01:00,280.9100646972656,10840.875,0.9518725275993347
2024-03-04 19:00:00+01:00,280.2417297363281,0.0,0.0947253406047821
2024-03-04 20:00:00+01:00,279.3053894042969,0.0,0.02316814288496971
2024-03-04 21:00:00+01:00,279.0695495605469,0.0,0.0035212356597185135
2024-03-04 22:00:00+01:00,279.0718994140625,0.0,0.24464811384677887
2024-03-04 23:00:00+01:00,278.8699035644531,0.0,0.028072373941540718
2024-03-05 00:00:00+01:00,277.7083435058594,0.0,0.0
2024-03-05 01:00:00+01:00,277.3431701660156,5.068580277711732e-11,0.0
2024-03-05 02:00:00+01:00,276.91705322265625,5.0712559152010783e-11,4.764171171700582e-05
2024-03-05 03:00:00+01:00,276.0389099121094,5.070920072736129e-11,0.021447554230690002
2024-03-05 04:00:00+01:00,277.0951232910156,5.0693789444000714e-11,0.0
2024-03-05 05:00:00+01:00,276.8408203125,-1.520747416883239e-10,1.9582063032430597e-05
2024-03-05 06:00:00+01:00,277.3681945800781,0.0,0.0
2024-03-05 07:00:00+01:00,277.1205139160156,0.0,0.0
2024-03-05 08:00:00+01:00,276.193603515625,71040.0,0.18657681345939636
2024-03-05 09:00:00+01:00,276.8011779785156,395392.0,0.09955987334251404
2024-03-05 10:00:00+01:00,278.43890380859375,758653.5,0.020686499774456024
2024-03-05 11:00:00+01:00,279.98858642578125,1041883.0,0.025089675560593605
2024-03-05 12:00:00+01:00,280.80877685546875,1232852.0,0.020877983421087265
2024-03-05 13:00:00+01:00,281.90020751953125,1270296.75,0.01055009476840496
2024-03-05 14:00:00+01:00,281.99267578125,1207561.25,0.011540142819285393
2024-03-05 15:00:00+01:00,281.8992004394531,1027333.0,0.0
2024-03-05 16:00:00+01:00,281.7154846191406,726828.75,0.062404558062553406
2024-03-05 17:00:00+01:00,280.52789306640625,384525.5,0.1432836800813675
2024-03-05 18:00:00+01:00,278.69012451171875,70244.75,0.1301380693912506
2024-03-05 19:00:00+01:00,277.23492431640625,0.0,0.17862069606781006
2024-03-05 20:00:00+01:00,275.9696044921875,0.0,0.9035602807998657
2024-03-05 21:00:00+01:00,274.615478515625,0.0,0.9800330996513367
2024-03-05 22:00:00+01:00,273.5054626464844,0.0,0.2697930335998535
2024-03-05 23:00:00+01:00,272.907958984375,0.0,0.8065185546875
2024-03-06 00:00:00+01:00,272.33367919921875,0.0,0.0020580345299094915
2024-03-06 01:00:00+01:00,271.830322265625,5.066904534833938e-11,0.03518105670809746
2024-03-06 02:00:00+01:00,271.32049560546875,5.0646251081865046e-11,0.006914372555911541
2024-03-06 03:00:00+01:00,270.8528747558594,5.069072939178909e-11,0.0
2024-03-06 04:00:00+01:00,270.52557373046875,5.063757052559126e-11,0.07933008670806885
2024-03-06 05:00:00+01:00,270.1896057128906,-1.519562670138086e-10,0.0
2024-03-06 06:00:00+01:00,269.6342468261719,0.0,0.0
2024-03-06 07:00:00+01:00,269.6673889160156,0.0,0.0
2024-03-06 08:00:00+01:00,269.6811218261719,83392.0,0.05412591993808746
2024-03-06 09:00:00+01:00,270.4781188964844,413440.0,0.0210708137601614
2024-03-06 10:00:00+01:00,272.94415283203125,771452.375,0.05578431487083435
2024-03-06 11:00:00+01:00,274.8445739746094,1042630.375,0.05202491208910942
2024-03-06 12:00:00+01:00,275.46282958984375,1227742.0,0.014983161352574825
2024-03-06 13:00:00+01:00,276.7201843261719,1280022.5,0.00898196455091238
2024-03-06 14:00:00+01:00,277.2758483886719,1222951.5,0.005517452023923397
