,Ti,Te,phi_h,Rie,Rea,Ci,Ce,Ai,v1,y1,Ta,phi_s,P0_scale
2025-02-14 10:00:00+01:00,295.00354684252045,294.99039883601114,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.13367537970172377,295.1372222222222,268.8392222222222,22.253333333333334,0.07142857142857142
2025-02-14 10:15:00+01:00,294.9854222056118,294.9741391035254,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.17213334994371357,295.1575555555555,268.9315555555555,39.266666666666666,0.07142857142857142
2025-02-14 10:30:00+01:00,294.9906317621236,294.96876404886274,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.16536823787636193,295.15599999999995,269.09444444444443,55.67777777777778,0.07142857142857142
2025-02-14 10:45:00+01:00,295.00290294129735,294.97907266195244,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.15565261425822516,295.15855555555555,269.24044444444445,48.074444444444445,0.07142857142857142
2025-02-14 11:00:00+01:00,295.0035351146638,294.98524004791966,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.1559093297806436,295.15944444444443,269.4548888888889,55.60333333333333,0.07142857142857142
2025-02-14 11:15:00+01:00,295.02057245941876,294.99451125909945,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.15498309613678202,295.17555555555555,269.71666666666664,53.45333333333333,0.07142857142857142
2025-02-14 11:30:00+01:00,295.02551990321047,295.0058790490643,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.1784800967894682,295.20399999999995,270.06333333333333,50.99111111111111,0.07142857142857142
2025-02-14 11:45:00+01:00,295.0358621180281,295.0134116679146,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.19324899308300633,295.2291111111111,270.3031111111111,76.98835555555556,0.07142857142857142
2025-02-14 12:00:00+01:00,295.0748423528609,295.0399981852243,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.15904653602796848,295.2338888888889,270.7275555555555,89.42444444444445,0.07142857142857142
2025-02-14 12:15:00+01:00,295.11399379427934,295.0806482464644,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.1304506501650879,295.2444444444444,271.019,100.31564444444444,0.07142857142857142
2025-02-14 12:30:00+01:00,295.16866541433745,295.1283952798903,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.08055680788474014,295.2492222222222,271.23077777777775,98.6616,0.07142857142857142
2025-02-14 12:45:00+01:00,295.2128122410618,295.1781036645589,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.037187758938237905,295.25,271.34766666666667,106.87608888888889,0.07142857142857142
2025-02-14 13:00:00+01:00,295.2740823197265,295.23117037128696,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.0017489863931550768,295.27233333333334,271.59944444444443,102.21617777777777,0.07142857142857142
2025-02-14 13:15:00+01:00,295.3195751292405,295.2847415558158,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.013869315203929021,295.3334444444444,271.65599999999995,96.88804444444445,0.07142857142857142
2025-02-14 13:30:00+01:00,295.3686555292671,295.331391776817,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.02154441815602231,295.3471111111111,271.5563333333333,88.10893333333333,0.07142857142857142
2025-02-14 13:45:00+01:00,295.4037559200678,295.3729025631994,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.055978142290054024,295.34777777777776,271.97988888888887,95.34466666666667,0.07142857142857142
2025-02-14 14:00:00+01:00,295.4561907937765,295.417202871641,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.10619079377653287,295.34999999999997,272.4564444444444,126.70817777777778,0.07142857142857142
2025-02-14 14:15:00+01:00,295.537397772555,295.48665590677814,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.18739777255502835,295.34999999999997,272.556,79.6400888888889,0.07142857142857142
2025-02-14 14:30:00+01:00,295.5461524726745,295.52917333539824,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.19170802823008515,295.3544444444444,272.1984444444444,36.388888888888886,0.07142857142857142
2025-02-14 14:45:00+01:00,295.5436961820392,295.52800362054677,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.19236284870588427,295.3513333333333,272.0001111111111,54.15111111111111,0.07142857142857142
2025-02-14 15:00:00+01:00,295.56442982452967,295.53803349946446,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.21442982452968679,295.34999999999997,272.12277777777774,56.233333333333334,0.07142857142857142
2025-02-14 15:15:00+01:00,295.57443112748535,295.5540328944495,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.2052089052631379,295.3692222222222,272.37699999999995,60.35,0.07142857142857142
2025-02-14 15:30:00+01:00,295.5972636054605,295.5706813367676,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.18793027212717783,295.40933333333334,272.74544444444444,54.71333333333333,0.07142857142857142
2025-02-14 15:45:00+01:00,295.60582003611444,295.58655811045287,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.15648670278111157,295.4493333333333,272.54055555555556,26.176666666666666,0.07142857142857142
2025-02-14 16:00:00+01:00,295.58828713246777,295.5798247526271,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.13973157691222587,295.4485555555555,272.5488888888889,19.81,0.07142857142857142
2025-02-14 16:15:00+01:00,295.5764905242231,295.5643658251756,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.1264905242231378,295.45,272.60144444444444,16.362222222222222,0.07142857142857142
2025-02-14 16:30:00+01:00,295.5559494324774,295.5481788147576,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.10672721025521958,295.4492222222222,272.5065555555555,5.588888888888889,0.07142857142857142
2025-02-14 16:45:00+01:00,295.52755698077436,295.52280802431727,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.07755698077437127,295.45,272.35344444444445,2.9033333333333333,0.07142857142857142
2025-02-14 17:00:00+01:00,295.49951386334453,295.4941994671309,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.04951386334451658,295.45,272.1978888888889,0.8222222222222222,0.07142857142857142
2025-02-14 17:15:00+01:00,295.4680679202235,295.4642386990223,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.028401253556847503,295.43966666666665,271.41288888888886,0.0,0.07142857142857142
2025-02-14 17:30:00+01:00,295.4366379487804,295.4320511986132,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.0008064956639694467,295.4374444444444,271.188,0.39666666666666667,0.07142857142857142
2025-02-14 17:45:00+01:00,295.4045321441934,295.4001729790174,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.025690078028780955,295.4302222222222,271.37555555555554,0.7188888888888889,0.07142857142857142
2025-02-14 18:00:00+01:00,295.3733498888417,295.3687269539366,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.029205666713824057,295.4025555555555,271.57244444444444,0.6577777777777778,0.07142857142857142
2025-02-14 18:15:00+01:00,295.34201496459985,295.33766868336727,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.027985035400174423,295.37,271.57033333333334,0.034444444444444444,0.07142857142857142
